age,gender,marital_status,education_level,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,num_of_open_accounts,num_of_delinquencies,loan_paid_back,annual_income_log,current_balance_log
59,male,married,master's,employed,0.074,743.0,17173.72,car,13.39,36,7,1,1,10.0958085313875,10.098357958797296
72,female,married,bachelor's,employed,0.219,531.0,22663.89,debt_consolidation,17.81,60,5,3,1,9.912148934239251,9.287672640495195
49,female,single,high_school,employed,0.234,779.0,3631.36,business,9.53,60,2,0,1,10.172857985616606,8.413262763805978
35,female,single,high_school,employed,0.264,809.0,14939.23,other,7.99,36,7,5,1,9.382177155127861,8.61733350549977
63,other,single,other,employed,0.26,663.0,16551.71,car,15.2,60,1,2,1,10.139643671958488,8.187274235071257
28,male,single,high_school,employed,0.081,774.0,12724.02,debt_consolidation,12.73,60,3,1,1,10.92523319561271,9.608193247082205
41,male,single,bachelor's,unemployed,0.165,742.0,5905.27,car,12.48,36,6,3,0,10.112283872783213,9.448122652349129
59,female,single,bachelor's,employed,0.135,810.0,15136.35,debt_consolidation,8.45,36,4,0,1,10.870693617379414,9.53018440889882
39,other,single,high_school,employed,0.074,724.0,500.0,home,9.95,36,6,4,1,11.049667830250396,9.654893492125533
43,female,single,high_school,employed,0.375,796.0,14712.38,car,11.81,36,4,2,0,10.886331462263465,9.678274360993337
31,female,married,high_school,self-employed,0.166,722.0,24847.59,car,15.16,36,3,2,1,10.520524989503345,9.726145776029064
31,female,married,bachelor's,employed,0.17,687.0,500.0,business,12.82,36,6,2,1,11.20506653520695,10.878259056881875
44,male,single,master's,employed,0.313,738.0,16352.99,debt_consolidation,10.22,36,2,0,1,11.17445355032494,10.51116180844517
73,female,married,bachelor's,employed,0.272,637.0,18191.26,home,14.32,36,5,4,1,10.075930055103342,8.4796055440848
56,female,divorced,bachelor's,employed,0.153,764.0,14908.25,medical,8.5,36,8,1,1,9.98040137033503,8.33465641146344
60,female,married,bachelor's,student,0.269,618.0,15819.7,business,12.33,36,4,6,0,10.235594561111961,10.393193926638979
44,male,widowed,master's,employed,0.059,720.0,10886.6,home,14.09,36,1,1,1,10.313573965944808,8.472731246975387
23,male,single,bachelor's,employed,0.092,589.0,28579.38,debt_consolidation,15.89,60,5,5,1,11.203100982063294,10.56267171401407
42,male,married,high_school,employed,0.21,578.0,16116.67,medical,17.24,60,4,5,1,10.979073934720596,11.095993412031095
73,male,married,bachelor's,employed,0.229,732.0,19078.95,debt_consolidation,12.79,60,3,2,1,10.58111974572053,9.482183416682687
22,female,single,master's,employed,0.113,564.0,9831.78,debt_consolidation,15.51,36,2,2,0,10.60277260774505,10.626259067170944
44,male,widowed,master's,employed,0.158,694.0,9607.62,car,12.14,36,5,5,1,9.845653969644372,9.974175253654279
64,male,divorced,phd,employed,0.1,489.5,8853.43,debt_consolidation,14.32,36,4,4,1,11.159774874623475,10.98804790693096
50,male,single,high_school,employed,0.067,753.0,19415.58,debt_consolidation,11.79,36,6,2,1,10.607157919638066,10.781678622644016
58,female,divorced,other,self-employed,0.14,619.0,18128.74,education,13.84,36,8,4,1,9.871225173923314,9.637067173145144
22,female,single,high_school,self-employed,0.122,709.0,9692.3,debt_consolidation,13.68,36,6,3,1,9.48960259678764,9.857416912107547
41,male,married,high_school,employed,0.425,705.0,18627.46,other,13.52,36,3,1,1,9.73729777606918,9.63038862720909
53,male,single,bachelor's,employed,0.135,739.0,9656.48,car,8.71,36,4,3,1,10.544245311865144,10.533168703300671
32,male,single,high_school,employed,0.222,692.0,5772.28,business,12.26,36,9,1,1,8.972735254470969,9.728167627015015
42,female,married,bachelor's,employed,0.212,702.0,11345.92,home,13.82,60,5,1,1,9.7989794512477,10.206927317849969
64,male,single,phd,employed,0.195,610.0,5285.92,business,10.52,60,1,6,1,10.788384413459609,9.969570193406978
45,female,single,other,self-employed,0.132,553.0,6268.32,debt_consolidation,15.01,36,3,3,0,10.23801003247367,10.048597343556693
69,male,single,bachelor's,employed,0.45849999999999996,818.0,10469.04,debt_consolidation,10.09,36,6,3,1,9.434910105808457,9.757555011113254
47,male,single,bachelor's,employed,0.111,629.0,6321.47,debt_consolidation,9.89,36,5,4,1,10.121247840051561,9.835248325559226
62,female,married,other,employed,0.09,685.0,10673.12,debt_consolidation,11.68,36,7,1,0,10.441437172146612,9.99558393726525
48,male,single,bachelor's,employed,0.199,657.0,22298.23,other,14.12,36,7,4,1,11.063613009322932,10.896767658478364
36,female,married,other,unemployed,0.218,806.0,23171.53,debt_consolidation,7.34,36,5,5,0,10.772696949360357,10.759175049865139
35,male,single,phd,employed,0.101,717.0,13275.22,debt_consolidation,13.28,36,6,0,1,10.751190188133648,9.128162386218134
67,female,single,high_school,self-employed,0.088,727.0,20613.2,debt_consolidation,13.75,60,4,2,1,10.931815421742442,8.829522021748542
71,female,single,high_school,employed,0.117,623.0,13225.93,car,15.11,36,4,3,1,9.495276427572417,9.065937527253688
64,female,married,bachelor's,employed,0.154,750.0,8606.43,business,11.97,36,8,4,1,11.246715344670513,8.735669869799743
75,male,single,master's,retired,0.163,759.0,2284.88,debt_consolidation,10.14,36,5,1,1,11.248301369005887,10.65876199009646
72,male,married,master's,self-employed,0.04,719.0,17789.74,medical,14.53,36,5,2,1,10.132776184110051,9.399370211179242
23,male,single,bachelor's,unemployed,0.104,602.0,26387.55,debt_consolidation,16.3,36,5,1,0,8.702825926869217,9.143155151417686
57,female,married,high_school,self-employed,0.241,693.0,22884.38,medical,8.01,60,4,6,1,11.297692169921898,10.892140433501384
71,female,single,high_school,employed,0.206,727.0,23939.96,car,10.73,60,4,5,1,8.84939058963606,6.209294003598423
27,male,married,other,employed,0.143,714.0,8316.32,debt_consolidation,11.87,60,5,1,1,10.727058426822744,9.178265426900527
41,male,single,bachelor's,employed,0.069,673.0,10351.45,debt_consolidation,14.6,36,8,2,1,10.229498113303885,10.150548001017135
29,female,single,bachelor's,employed,0.107,608.0,21421.74,debt_consolidation,14.44,60,4,2,1,10.139159889807406,8.876121394858002
59,male,single,phd,employed,0.183,697.0,10606.79,other,12.62,36,7,3,0,10.240758755612909,7.429081577183986
38,male,single,master's,employed,0.171,593.0,15284.49,debt_consolidation,16.08,36,7,3,1,10.57961801654433,9.642323417624981
24,male,married,bachelor's,employed,0.098,643.0,19958.98,education,13.91,60,10,2,1,9.213681783238547,7.246004507246655
45,female,widowed,bachelor's,unemployed,0.44,598.0,18787.69,debt_consolidation,17.06,36,6,4,0,10.385603777215554,10.377142320754444
34,female,single,master's,employed,0.09,665.0,500.0,other,13.79,36,7,6,1,9.643318826110132,8.152284442550402
70,other,married,bachelor's,employed,0.039,658.0,33869.0,other,16.64,36,4,3,1,10.197683612827044,9.906231783687081
29,male,single,bachelor's,employed,0.073,655.0,23131.95,home,14.15,60,5,1,1,10.597178835045757,8.050269613937376
46,female,single,high_school,unemployed,0.294,580.0,2855.15,medical,12.38,36,5,4,0,11.025652617436025,10.453368972011113
73,female,single,master's,employed,0.098,785.0,19723.17,business,11.29,60,3,3,1,10.05903168962214,7.955302317434086
22,male,married,other,employed,0.106,648.0,9020.84,debt_consolidation,14.01,36,6,3,1,11.57419881749186,8.480518833546858
40,female,single,other,self-employed,0.358,652.0,17952.71,business,13.23,36,8,6,1,9.963936158862746,9.555045057380722
48,male,married,bachelor's,employed,0.147,587.0,22296.51,education,15.06,36,4,3,1,9.97940082272972,9.63206982890579
67,male,single,bachelor's,employed,0.097,605.0,5207.8,vacation,12.71,60,7,2,1,11.117131836958785,11.275523747389276
27,male,single,high_school,retired,0.221,707.0,13459.01,debt_consolidation,13.32,36,6,1,1,10.351380085770913,10.488059333008525
64,male,single,bachelor's,unemployed,0.165,791.0,22931.8,other,8.65,36,7,0,1,10.608212699028359,10.252739917164204
28,female,single,bachelor's,employed,0.094,708.0,41679.04,business,11.1,60,2,2,1,10.206616456032926,10.167828707820531
67,male,single,master's,self-employed,0.319,682.0,12183.94,car,10.89,36,3,4,1,10.275756722034114,10.352118466292053
55,male,single,high_school,employed,0.09,733.0,2044.83,business,10.44,36,4,1,1,10.70986140427124,9.306630071894007
34,male,single,bachelor's,employed,0.052,662.0,6954.56,debt_consolidation,13.02,36,4,2,1,11.262706407979657,10.551188260055685
37,female,married,bachelor's,employed,0.291,667.0,27060.87,vacation,14.72,36,7,6,1,10.584138479129233,8.204401152627458
56,female,single,high_school,employed,0.033,732.0,17320.78,other,11.36,36,3,1,1,10.757278643343405,9.28964311363469
70,female,married,high_school,employed,0.057,665.0,15303.67,car,11.86,36,3,3,1,11.088997461723846,10.337220986566388
60,female,single,bachelor's,self-employed,0.075,798.0,30714.91,home,6.49,36,6,3,1,10.220950975279333,9.727871463757177
24,male,married,bachelor's,employed,0.354,646.0,10419.48,debt_consolidation,10.43,60,8,3,1,9.912503288375559,9.651199650583441
22,male,single,bachelor's,employed,0.085,645.0,20987.63,debt_consolidation,14.86,60,9,4,1,9.885521627469256,9.375889555612847
26,female,single,bachelor's,employed,0.254,594.0,9605.16,other,14.35,36,9,2,1,9.96843880099006,10.056334811851244
74,male,widowed,high_school,employed,0.118,686.0,11636.29,other,12.94,36,6,1,1,9.873696163248313,9.51272975970019
62,male,single,high_school,employed,0.293,816.0,14260.74,medical,7.82,36,5,3,1,11.159867258458874,9.28754582768508
24,female,married,high_school,employed,0.272,796.0,4185.81,home,7.13,36,4,2,1,9.369508443615224,8.319234814290844
74,male,married,high_school,employed,0.2,714.0,3953.41,business,12.7,60,6,3,1,10.854480728619237,8.092429049187562
49,male,single,master's,employed,0.126,692.0,12889.65,debt_consolidation,15.25,36,2,2,1,9.764991283857988,7.733508424090104
38,male,divorced,high_school,employed,0.135,575.0,10809.07,debt_consolidation,12.45,36,4,3,1,11.574761587916836,10.696616484100065
46,male,married,high_school,employed,0.24,723.0,23461.16,medical,7.59,36,6,1,1,10.7415341084086,8.711255554413212
64,female,married,high_school,employed,0.096,632.0,4489.55,other,16.43,36,4,6,1,9.974342023504352,9.695805725317905
54,female,widowed,bachelor's,self-employed,0.065,731.0,22433.03,home,9.6,36,3,3,1,10.175048246074782,9.179344938273664
30,female,married,bachelor's,employed,0.252,746.0,15912.88,business,14.25,36,8,3,1,10.449725975467846,9.53795132023641
56,female,single,high_school,employed,0.413,850.0,10942.58,home,11.09,36,5,4,1,10.881403252772055,9.948079870445989
34,male,married,high_school,employed,0.145,661.0,17284.88,business,15.05,36,5,0,1,10.70157858696243,10.736771822486094
51,male,single,other,employed,0.133,724.0,17092.49,debt_consolidation,10.05,60,1,2,1,10.491940661981408,10.653750618253913
68,male,single,phd,retired,0.179,726.0,8737.08,home,11.16,36,2,0,1,10.075909014715053,9.962588190148916
35,male,married,master's,employed,0.141,662.0,15806.45,other,14.32,60,1,3,1,10.326127983387325,9.139833140138473
28,other,divorced,high_school,retired,0.116,726.0,12676.02,car,12.8,36,10,3,1,11.305159322925316,9.921962337855907
34,female,single,bachelor's,unemployed,0.063,693.0,18042.75,other,11.53,36,3,2,1,11.776815027118007,11.240098112812248
43,male,married,bachelor's,retired,0.119,722.0,26516.78,debt_consolidation,12.82,36,8,3,1,11.161595638974044,10.681387561483884
60,male,single,high_school,employed,0.295,624.0,6709.69,home,15.0,36,5,3,1,9.926374145009607,8.592387858617244
41,male,single,bachelor's,employed,0.102,580.0,10023.24,debt_consolidation,14.77,36,5,6,0,11.359622991980489,10.835308661372506
36,male,married,bachelor's,unemployed,0.272,658.0,15067.38,debt_consolidation,12.46,36,2,5,0,10.301628571530708,10.115108978374945
65,male,divorced,bachelor's,retired,0.239,667.0,24986.54,education,16.37,60,5,1,1,10.50195942671696,10.016617110875815
38,female,single,bachelor's,self-employed,0.128,663.0,5745.56,car,9.16,60,1,0,1,9.742711808689378,8.375800119472242
67,female,single,bachelor's,employed,0.382,615.0,20487.12,education,11.77,60,6,6,1,10.568180473123062,9.852548405957155
73,female,single,master's,unemployed,0.113,736.0,500.0,vacation,13.82,36,8,2,1,10.02898740350351,7.969693209780868
44,male,married,master's,employed,0.077,677.0,22705.0,debt_consolidation,12.9,60,2,2,1,11.325354876079551,10.121289663724571
46,male,single,bachelor's,unemployed,0.267,804.0,26375.58,other,9.35,60,5,4,0,12.026534591196366,9.402462908536993
45,female,single,bachelor's,employed,0.04,653.0,13374.14,business,13.56,36,4,2,1,10.499067107176533,10.439039544420327
65,female,married,master's,employed,0.139,754.0,11531.97,debt_consolidation,9.5,36,4,1,1,10.786321599284044,9.89336196132576
61,female,single,other,self-employed,0.177,776.0,13049.15,other,11.68,36,5,1,1,10.315401820038472,9.323208236836036
49,female,single,bachelor's,self-employed,0.101,638.0,21653.22,other,13.41,60,5,2,1,10.572004124833393,9.985009012470254
35,female,married,bachelor's,employed,0.213,713.0,902.21,debt_consolidation,13.04,36,11,5,1,10.145271094762373,10.52181312174708
65,female,divorced,master's,employed,0.19,713.0,25948.79,education,10.74,60,7,2,1,10.686815644301095,10.43123400815287
21,male,divorced,bachelor's,employed,0.053,580.0,9054.32,debt_consolidation,15.31,36,6,5,1,10.741104489348192,7.926227077418374
45,female,single,master's,self-employed,0.114,738.0,32992.76,debt_consolidation,11.77,36,2,4,1,10.679299845412713,9.966221008022483
27,male,divorced,master's,employed,0.061,702.0,11700.41,debt_consolidation,11.53,36,3,6,1,10.948000684238838,8.644502265506247
29,male,married,master's,self-employed,0.01,631.0,6996.65,education,15.53,36,4,0,1,10.281412898768279,9.615150599029885
